token,sentiment,polarity
aghast,-0.55,negative
aging,-0.25,negative
agitate,-0.6,negative
agonize,-0.65,negative
agonizing,-0.45,negative
agony,-0.75,negative
agree,0.65,positive
agreeable,0.5,positive
agreement,0.5,positive
ail,-0.45,negative
alien,-0.15,negative
alienate,-0.65,negative
alienation,-0.45,negative
align,0.2,positive
alignment,0.4,positive
alive,0.5,positive
allegation,-0.25,negative
allegiance,0.4,positive
alliance,0.4,positive
allocation,0.2,positive
allowable,0.2,positive
allowance,0.4,positive
alluring,0.45,positive
almighty,0.65,positive
amateur,-0.25,negative
amateurish,-0.45,negative
amazed,0.65,positive
amazement,0.6,positive
amazing,0.75,positive
ambition,0.7,positive
ambitious,0.65,positive
ambush,-0.65,negative
ameliorate,0.4,positive
amend,0.4,positive
amendable,0.45,positive
amendment,0.15,positive
amenity,0.4,positive
amiable,0.7,positive
amicable,0.4,positive
amusement,0.35,positive
anachronism,-0.3,negative
anarchic,-0.45,negative
anemic,-0.35,negative
anger,-0.5,negative
angry,-0.5,negative
angst,-0.4,negative
anguish,-0.55,negative
animate,0.35,positive
annex,0.6,positive
annihilate,-0.6,negative
annoy,-0.3,negative
annoyance,-0.25,negative
annul,-0.2,negative
annulment,-0.4,negative
anomalous,-0.1,negative
anomalously,-0.05,negative
anticipate,0.25,positive
antidote,0.75,positive
anxiety,-0.55,negative
apathy,-0.4,negative
apparently,0.05,positive
appeal,0.3,positive
appear,0.1,positive
applaud,0.35,positive
applause,0.45,positive
appreciable,0.35,positive
appreciate,0.55,positive
appreciation,0.55,positive
appreciative,0.6,positive
appropriate,0.6,positive
approval,0.4,positive
approve,0.45,positive
approximate,0.05,positive
apt,-0.05,negative
arbitrarily,-0.1,negative
arbitrariness,-0.25,negative
archaic,-0.55,negative
arduous,-0.5,negative
argue,-0.15,negative
argument,-0.3,negative
argumentative,-0.25,negative
armor,0.25,positive
arouse,0.5,positive
arrest,-0.4,negative
arrogance,-0.4,negative
arrogant,-0.65,negative
art,0.15,positive
artificial,-0.45,negative
artificially,-0.25,negative
ascend,0.5,positive
ascendant,0.4,positive
ascent,0.55,positive
ashamed,-0.6,negative
aspiration,0.6,positive
aspirational,0.65,positive
aspiring,0.35,positive
assemble,0.35,positive
assert,0.2,positive
assertable,0.25,positive
assertive,0.25,positive
assignment,0.2,positive
assuage,0.25,positive
assure,0.35,positive
assured,0.35,positive
astonish,0.45,positive
astonishing,0.55,positive
astonishment,0.45,positive
astounding,0.75,positive
astute,0.35,positive
atrocious,-0.6,negative
attain,0.55,positive
attainable,0.45,positive
attend,0.2,positive
attentive,0.5,positive
attract,0.55,positive
attraction,0.6,positive
attractive,0.65,positive
attributable,0.3,positive
attribute,0.1,positive
authentic,0.6,positive
automate,0.5,positive
autonomy,0.4,positive
availability,0.6,positive
available,0.3,positive
avaricious,-0.6,negative
aversion,-0.5,negative
avid,0.45,positive
avoid,-0.25,negative
award,0.5,positive
aware,0.4,positive
awareness,0.45,positive
awash,-0.2,negative
awesome,0.95,positive
awful,-0.5,negative
awkward,-0.35,negative
backbone,0.4,positive
backdate,-0.2,negative
backer,0.4,positive
backfire,-0.75,negative
backlash,-0.5,negative
backward,-0.4,negative
bad,-0.4,negative
baffle,-0.4,negative
baffling,-0.45,negative
bait,-0.2,negative
balanced,0.35,positive
balk,-0.275,negative
ban,-0.45,negative
bandit,-0.45,negative
bane,-0.35,negative
banish,-0.4,negative
bankable,0.7,positive
bankrupt,-0.9,negative
bankruptcy,-0.85,negative
barbaric,-0.65,negative
bargain,0.45,positive
barrage,-0.35,negative
barrier,-0.4,negative
baseless,-0.4,negative
bash,-0.3,negative
batter,-0.3,negative
battered,-0.55,negative
battering,-0.65,negative
battle,-0.4,negative
battlefield,-0.35,negative
battleground,-0.35,negative
beast,-0.45,negative
beating,-0.55,negative
beautiful,0.65,positive
beautifully,0.7,positive
beauty,0.55,positive
bedevil,-0.25,negative
befall,-0.35,negative
befit,0.3,positive
begrudge,-0.4,negative
behave,0.45,positive
beleaguered,-0.35,negative
belie,-0.5,negative
believable,0.55,positive
believe,0.25,positive
belittle,-0.45,negative
belligerent,-0.5,negative
bellow,-0.2,negative
beloved,0.6,positive
beneficial,0.6,positive
beneficially,0.6,positive
beneficiation,0.35,positive
berate,-0.05,negative
bereft,-0.45,negative
beset,-0.35,negative
bestow,0.4,positive
bestseller,0.75,positive
betray,-0.5,negative
betrayal,-0.8,negative
beware,-0.4,negative
bewilder,-0.4,negative
bias,-0.45,negative
bicker,-0.45,negative
bind,-0.2,negative
bitter,-0.5,negative
bitterness,-0.45,negative
bizarre,-0.4,negative
blacken,-0.4,negative
blacklist,-0.8,negative
blackmail,-0.9,negative
blackout,-0.4,negative
blackspot,-0.55,negative
blame,-0.6,negative
blatant,-0.05,negative
bleak,-0.5,negative
bleed,-0.5,negative
bless,0.75,positive
blessing,0.8,positive
blind,-0.4,negative
blindside,-0.5,negative
blink,-0.1,negative
blissful,0.7,positive
blistering,-0.3,negative
bloat,-0.35,negative
bloated,-0.45,negative
block,-0.35,negative
blockade,-0.55,negative
blood,-0.1,negative
bloodbath,-0.7,negative
bloody,-0.65,negative
bloom,0.6,positive
blossom,0.65,positive
blow,-0.45,negative
bluff,-0.4,negative
blunder,-0.6,negative
bogus,-0.5,negative
boil,-0.1,negative
bolster,0.5,positive
bombshell,-0.5,negative
bonus,0.8,positive
boom,0.8,positive
boost,0.4,positive
bootleg,-0.35,negative
borderline,-0.45,negative
bored,-0.45,negative
boring,-0.4,negative
botch,-0.35,negative
botched,-0.6,negative
bothersome,-0.5,negative
bottleneck,-0.4,negative
bottomless,-0.4,negative
bounce,0.35,positive
boycott,-0.35,negative
brag,-0.3,negative
brake,-0.25,negative
brash,-0.4,negative
brave,0.65,positive
brawl,-0.5,negative
breach,-0.5,negative
breakage,-0.4,negative
breakdown,-0.65,negative
breakthrough,0.65,positive
breakup,-0.3,negative
breathe,0.25,positive
breed,0.15,positive
bribe,-0.5,negative
bribery,-0.6,negative
bridge,0.05,positive
bright,0.45,positive
brighten,0.7,positive
brilliant,0.75,positive
brisk,0.3,positive
brittle,-0.4,negative
broaden,0.4,positive
bruise,-0.4,negative
brunt,-0.4,negative
brutal,-0.6,negative
brutalize,-0.75,negative
buckle,-0.4,negative
budge,-0.2,negative
bug,-0.3,negative
bulldoze,-0.35,negative
bulldozer,-0.1,negative
bully,-0.45,negative
bullying,-0.75,negative
bum,-0.5,negative
bumbling,-0.55,negative
bumpy,-0.4,negative
burden,-0.5,negative
burdensome,-0.5,negative
bureaucracy,-0.1,negative
burgeon,0.35,positive
burglar,-0.7,negative
burglarize,-0.5,negative
burgle,-0.7,negative
burn,-0.4,negative
bury,-0.25,negative
busted,-0.4,negative
calamitous,-0.7,negative
calamity,-0.7,negative
calmness,0.35,positive
cancel,-0.4,negative
cancellation,-0.45,negative
cancer,-0.45,negative
cannibalize,-0.6,negative
capable,0.6,positive
capacity,0.05,positive
capped,0.3,positive
captivate,0.35,positive
captivating,0.6,positive
careful,0.65,positive
careless,-0.4,negative
carelessly,-0.4,negative
carelessness,-0.35,negative
caring,0.75,positive
carnage,-0.6,negative
casual,0.2,positive
casualised,-0.35,negative
casualty,-0.5,negative
catastrophe,-0.95,negative
catastrophic,-1,negative
catastrophically,-0.95,negative
cease,-0.3,negative
celebrated,0.65,positive
celebration,0.75,positive
celebratory,0.55,positive
censure,-0.4,negative
centralize,0.15,positive
certainty,0.4,positive
chagrin,-0.3,negative
challenge,-0.1,negative
champion,0.7,positive
chance,0.55,positive
chancy,-0.45,negative
chaos,-0.65,negative
chaotic,-0.7,negative
charismatic,0.6,positive
charitable,0.5,positive
charity,0.5,positive
charm,0.5,positive
charred,-0.25,negative
chasten,-0.15,negative
cheat,-0.55,negative
cheating,-0.7,negative
check,0.3,positive
cheer,0.6,positive
cherish,0.7,positive
chide,-0.4,negative
chilly,-0.15,negative
choke,-0.6,negative
choose,0.35,positive
choosy,-0.25,negative
chop,-0.15,negative
choppy,-0.5,negative
civil,0.25,positive
clandestine,-0.4,negative
clarification,0.4,positive
clarify,0.6,positive
clarity,0.5,positive
clash,-0.5,negative
classify,0.15,positive
classy,0.6,positive
claw,-0.35,negative
clean,0.5,positive
cleanup,0.4,positive
climax,0.55,positive
climb,0.55,positive
climbdown,-0.25,negative
clobber,-0.45,negative
clog,-0.4,negative
closeout,-0.35,negative
cloudy,-0.25,negative
clueless,-0.35,negative
clumsy,-0.35,negative
clunky,-0.35,negative
clutter,-0.55,negative
cluttered,-0.3,negative
coalesce,0.2,positive
cocky,-0.5,negative
coerce,-0.65,negative
coercion,-0.6,negative
coercive,-0.45,negative
coherent,0.6,positive
cohesive,0.2,positive
coincide,0.2,positive
collaborate,0.35,positive
collaborative,0.55,positive
collaborator,0.3,positive
collapse,-0.8,negative
collapsed,-1,negative
collide,-0.4,negative
collision,-0.35,negative
collude,-0.55,negative
collusion,-0.6,negative
collusive,-0.35,negative
colorful,0.4,positive
colossus,0.4,positive
comatose,-0.4,negative
comfort,0.7,positive
comfortable,0.5,positive
comic,0.15,positive
commence,0.35,positive
commendable,0.65,positive
commit,0.5,positive
commitment,0.3,positive
companion,0.65,positive
comparable,0.2,positive
compare,0.05,positive
compassion,0.5,positive
compassionate,0.75,positive
compensate,0.7,positive
competent,0.55,positive
complain,-0.3,negative
complainant,-0.25,negative
complaint,-0.4,negative
complete,0.4,positive
complicate,-0.4,negative
complication,-0.45,negative
complicit,-0.5,negative
compliment,0.6,positive
complimentary,0.6,positive
comply,0.35,positive
compulsive,-0.25,negative
compulsory,-0.2,negative
computerized,0.15,positive
conceal,-0.1,negative
conceivable,0.1,positive
concentrate,0.4,positive
concentration,0.35,positive
concessional,0.2,positive
conclusive,0.2,positive
conclusively,0.3,positive
condemn,-0.5,negative
condemnation,-0.5,negative
confer,0.05,positive
confidence,0.6,positive
confident,0.6,positive
confine,-0.45,negative
confinement,-0.45,negative
confirm,0.3,positive
confiscate,-0.4,negative
confiscation,-0.5,negative
confiscatory,-0.3,negative
conflict,-0.5,negative
conflicting,-0.5,negative
confrontation,-0.45,negative
confrontational,-0.5,negative
confuse,-0.4,negative
confusingly,-0.3,negative
confusion,-0.4,negative
congested,-0.4,negative
congestion,-0.6,negative
congratulate,0.55,positive
congregate,0.35,positive
connection,0.4,positive
conquer,0.5,positive
consciousness,0.45,positive
consecutive,0.1,positive
consensual,0.5,positive
consensus,0.4,positive
consent,0.3,positive
consequence,-0.5,negative
conserve,0.5,positive
considerable,0.25,positive
consideration,0.45,positive
consistent,0.55,positive
consolidate,0.2,positive
consolidated,0.35,positive
conspiracy,-0.35,negative
conspirator,-0.4,negative
conspiratorial,-0.6,negative
conspire,-0.55,negative
constant,0.15,positive
constitution,0.25,positive
constitutional,0.35,positive
constitutionality,0.2,positive
constitutionally,0.15,positive
constitutive,0.25,positive
constrain,-0.3,negative
constraint,-0.5,negative
constrict,-0.3,negative
constructive,0.4,positive
constructively,0.45,positive
contact,0.2,positive
contagion,-0.85,negative
contagious,-0.6,negative
contamination,-0.85,negative
contempt,-0.5,negative
content,0.1,positive
contented,0.45,positive
contention,-0.35,negative
contest,-0.1,negative
contestation,-0.15,negative
continuity,0.3,positive
continuous,0.45,positive
contractible,-0.2,negative
contractionary,-0.1,negative
contradict,-0.4,negative
contradiction,-0.3,negative
contradictory,-0.45,negative
contrarian,-0.3,negative
contrary,-0.25,negative
contravene,-0.3,negative
contravention,-0.75,negative
contribute,0.4,positive
contribution,0.5,positive
controversial,-0.45,negative
controversy,-0.5,negative
conundrum,-0.45,negative
convenient,0.45,positive
converge,0.6,positive
convict,-0.55,negative
conviction,-0.25,negative
convinced,0.35,positive
convincing,0.55,positive
convulse,-0.4,negative
cooperate,0.7,positive
cooperation,0.7,positive
cooperative,0.35,positive
coordinate,0.45,positive
copious,0.6,positive
copycat,-0.35,negative
correct,0.45,positive
corrosive,-0.7,negative
corrupt,-0.65,negative
corruption,-0.65,negative
corruptly,-0.5,negative
corruptness,-0.8,negative
cosmetic,0.15,positive
cosmopolitan,0.25,positive
costly,-0.5,negative
cough,-0.4,negative
countenance,0.4,positive
counterattack,-0.3,negative
counterclaiming,-0.1,negative
counterfeit,-0.7,negative
counterfeiter,-0.8,negative
countersuit,-0.35,negative
courage,0.65,positive
courageous,0.8,positive
courteous,0.55,positive
courtesy,0.45,positive
cozy,0.3,positive
crackdown,-0.45,negative
craftsmanship,0.6,positive
cramped,-0.3,negative
crappy,-0.6,negative
crash,-0.85,negative
crass,-0.4,negative
crawl,-0.2,negative
crazed,-0.45,negative
crazy,-0.4,negative
creak,-0.35,negative
creaky,-0.45,negative
crease,-0.15,negative
creative,0.65,positive
creatively,0.7,positive
creativeness,0.6,positive
creativity,0.7,positive
credibility,0.6,positive
credible,0.55,positive
creditable,0.4,positive
creditworthy,0.55,positive
creep,-0.4,negative
creepy,-0.6,negative
cremate,-0.6,negative
crest,0.4,positive
crime,-0.75,negative
criminal,-0.4,negative
criminality,-0.8,negative
criminalize,-0.65,negative
criminally,-0.5,negative
cripple,-0.8,negative
crippling,-0.5,negative
crisis,-0.75,negative
crisp,0.45,positive
critic,-0.4,negative
critical,-0.2,negative
criticism,-0.3,negative
criticize,-0.575,negative
crook,-0.7,negative
crooked,-0.45,negative
crossroad,-0.05,negative
crowded,-0.4,negative
crown,0.75,positive
crucify,-0.55,negative
cruel,-0.75,negative
crumble,-0.75,negative
crummy,-0.45,negative
crumple,-0.5,negative
crunch,-0.3,negative
cry,-0.4,negative
crystallise,0.2,positive
culpability,-0.25,negative
culpable,-0.4,negative
culpably,-0.4,negative
culprit,-0.5,negative
cultivate,0.6,positive
cumbersome,-0.4,negative
cure,0.6,positive
curious,0.15,positive
curse,-0.7,negative
cushy,0.3,positive
cutback,-0.35,negative
cutthroat,-0.6,negative
cutting,-0.25,negative
cyberattack,-0.8,negative
cyberattacks,-0.8,negative
cyberbullying,-0.8,negative
cybercrime,-0.6,negative
cybercrimes,-0.9,negative
cybercriminal,-0.75,negative
cybercriminals,-0.85,negative
cynical,-0.7,negative
daft,-0.1,negative
damage,-0.7,negative
damn,-0.55,negative
damned,-0.6,negative
damning,-0.7,negative
damp,-0.3,negative
damped,-0.25,negative
dampen,-0.35,negative
damper,-0.3,negative
danger,-0.8,negative
dangerous,-0.55,negative
dangerously,-0.8,negative
darken,-0.35,negative
darkness,-0.3,negative
darn,-0.35,negative
daunt,-0.35,negative
daunting,-0.35,negative
daze,-0.1,negative
dazzling,0.7,positive
deactivate,-0.45,negative
deadbeat,-0.55,negative
deadlock,-0.5,negative
deadly,-0.6,negative
deadweight,-0.55,negative
deaf,-0.45,negative
deal,0.4,positive
dearth,-0.5,negative
debacle,-0.45,negative
debar,-0.4,negative
debarment,-0.65,negative
decay,-0.65,negative
decaying,-0.8,negative
decease,-0.3,negative
deceit,-0.6,negative
deceitful,-0.75,negative
deceitfulness,-0.6,negative
deceive,-0.5,negative
deceleration,-0.2,negative
decentralize,-0.1,negative
deception,-0.75,negative
deceptive,-0.5,negative
deceptively,-0.4,negative
decimate,-0.4,negative
declare,0.15,positive
decline,-0.6,negative
decliner,-0.45,negative
decrease,-0.35,negative
decrepit,-0.8,negative
dedicated,0.3,positive
deep,-0.2,negative
deepen,-0.2,negative
deface,-0.4,negative
defacement,-0.55,negative
defalcation,-0.75,negative
defamation,-0.65,negative
defamatory,-0.65,negative
defame,-0.55,negative
defaulted,-0.4,negative
defeasance,-0.3,negative
defeasances,-0.4,negative
defease,-0.25,negative
defeased,-0.3,negative
defeasement,-0.3,negative
defeasing,-0.35,negative
defeat,-0.75,negative
defect,-0.7,negative
defective,-0.7,negative
defectively,-0.5,negative
defer,-0.2,negative
defiance,-0.4,negative
deficiency,-0.75,negative
deficient,-0.5,negative
deficit,-0.45,negative
define,0.25,positive
definitely,0.2,positive
definitively,0.4,positive
deflate,-0.45,negative
deflect,-0.3,negative
defraud,-0.45,negative
defunct,-0.65,negative
defuse,0.45,positive
degenerate,-0.4,negative
degradation,-0.5,negative
degrade,-0.5,negative
delay,-0.3,negative
delete,-0.2,negative
deleterious,-0.6,negative
delicious,0.5,positive
delight,0.55,positive
delighted,0.55,positive
delightful,0.7,positive
delightfully,0.6,positive
delinquency,-0.575,negative
delinquent,-0.4,negative
delinquently,-0.45,negative
delist,-0.3,negative
deliver,0.3,positive
delude,-0.55,negative
delusion,-0.6,negative
demeaning,-0.6,negative
demise,-0.6,negative
demolish,-0.65,negative
demolition,-0.5,negative
demonize,-0.5,negative
demonstrate,0.4,positive
demoralize,-0.8,negative
demoralized,-0.7,negative
demote,-0.6,negative
demotion,-0.55,negative
demur,-0.3,negative
demurrer,-0.15,negative
denial,-0.5,negative
denigrate,-0.7,negative
denigration,-0.45,negative
denounce,-0.3,negative
dense,-0.4,negative
deny,-0.3,negative
dependance,-0.2,negative
dependency,-0.25,negative
dependent,-0.05,negative
deplete,-0.5,negative
depleted,-0.75,negative
depletion,-0.65,negative
deplorable,-0.7,negative
depose,-0.45,negative
deprecation,-0.55,negative
depress,-0.7,negative
depression,-0.75,negative
deprivation,-0.6,negative
deprive,-0.7,negative
derail,-0.7,negative
deregulatory,-0.7,negative
derelict,-0.6,negative
dereliction,-0.5,negative
deride,-0.45,negative
derisory,-0.45,negative
derogate,-0.35,negative
derogation,-0.5,negative
derogatory,-0.75,negative
descend,-0.4,negative
deserted,-0.6,negative
desirable,0.65,positive
desire,0.325,positive
desist,-0.35,negative
despair,-0.55,negative
desperate,-0.6,negative
desperation,-0.5,negative
despicable,-0.55,negative
despise,-0.55,negative
destabilization,-0.8,negative
destabilize,-0.55,negative
destitute,-0.5,negative
destroy,-0.65,negative
destruction,-0.9,negative
destructive,-0.6,negative
desultory,-0.25,negative
detain,-0.45,negative
detainer,-0.25,negative
detention,-0.6,negative
deter,-0.4,negative
deteriorate,-0.75,negative
deterioration,-0.65,negative
determinant,0.3,positive
determination,0.75,positive
deterrence,-0.3,negative
deterrences,-0.25,negative
deterrent,-0.4,negative
detract,-0.3,negative
detractor,-0.25,negative
detriment,-0.6,negative
detrimental,-0.55,negative
detrimentally,-0.55,negative
detritus,-0.3,negative
devaluation,-0.6,negative
devalue,-0.4,negative
devastate,-0.9,negative
devastation,-0.85,negative
develop,0.3,positive
developed,0.45,positive
deviate,-0.15,negative
deviation,-0.4,negative
devil,-0.8,negative
devoid,-0.3,negative
devolve,-0.4,negative
devote,0.5,positive
dialog,0.25,positive
dicey,-0.3,negative
die,-0.95,negative
differ,-0.1,negative
difficult,-0.5,negative
difficultly,-0.4,negative
difficulty,-0.4,negative
diffidence,-0.4,negative
dignified,0.6,positive
dignity,0.6,positive
dilapidated,-0.75,negative
dilemma,-0.3,negative
diligence,0.75,positive
diligently,0.45,positive
dilute,-0.3,negative
diluted,-0.35,negative
dim,-0.25,negative
diminish,-0.4,negative
diminution,-0.4,negative
dingy,-0.4,negative
dint,-0.35,negative
dip,-0.35,negative
dire,-0.3,negative
directional,0.35,positive
dirt,-0.55,negative
dirty,-0.8,negative
disadvantage,-0.45,negative
disadvantageous,-0.6,negative
disaffected,-0.4,negative
disaffiliation,-0.55,negative
disaffirm,-0.35,negative
disaffirmance,-0.5,negative
disaffirmed,-0.4,negative
disaffirms,-0.35,negative
disagree,-0.3,negative
disagreeable,-0.4,negative
disagreement,-0.5,negative
disallow,-0.5,negative
disallowance,-0.4,negative
disappear,-0.3,negative
disappearance,-0.35,negative
disappoint,-0.55,negative
disappointingly,-0.45,negative
disappointment,-0.6,negative
disapproval,-0.4,negative
disapprove,-0.45,negative
disarray,-0.65,negative
disassociate,-0.45,negative
disassociation,-0.45,negative
disaster,-0.9,negative
disastrous,-0.7,negative
disastrously,-0.85,negative
disavow,-0.45,negative
disavowal,-0.4,negative
disbelief,-0.5,negative
discharge,-0.3,negative
disclaim,-0.35,negative
disclose,-0.1,negative
discomfort,-0.5,negative
discontent,-0.45,negative
discontented,-0.5,negative
discontinuance,-0.5,negative
discontinuation,-0.4,negative
discontinue,-0.4,negative
discontinued,-0.6,negative
discount,0.2,positive
discourage,-0.3,negative
discredit,-0.4,negative
discredited,-0.5,negative
discrepancy,-0.55,negative
discriminate,-0.8,negative
discrimination,-0.7,negative
discriminatory,-0.7,negative
discuss,0.25,positive
disdain,-0.5,negative
disease,-0.65,negative
disenchanted,-0.3,negative
disenfranchise,-0.4,negative
disfavored,-0.65,negative
disfavoring,-0.45,negative
disfavors,-0.45,negative
disgorge,-0.25,negative
disgrace,-0.7,negative
disgraced,-0.55,negative
disgraceful,-0.5,negative
disgracefully,-0.7,negative
disgruntle,-0.6,negative
disgruntled,-0.8,negative
disgust,-0.55,negative
disgusting,-0.6,negative
dishonest,-0.45,negative
dishonestly,-0.75,negative
dishonesty,-0.75,negative
dishonor,-0.55,negative
dishonorable,-0.75,negative
dishonorably,-0.7,negative
disillusioned,-0.55,negative
disincentive,-0.35,negative
disinflationary,-0.5,negative
disingenuous,-0.6,negative
disintegrate,-0.6,negative
disinterested,-0.35,negative
disinterestedly,-0.4,negative
disinterestedness,-0.3,negative
disinvest,-0.45,negative
disinvestment,-0.45,negative
disjointed,-0.3,negative
dislike,-0.45,negative
disloyal,-0.65,negative
disloyally,-0.45,negative
disloyalty,-0.6,negative
dismal,-0.4,negative
dismally,-0.7,negative
dismantle,-0.45,negative
dismantling,-0.4,negative
dismay,-0.4,negative
dismayed,-0.35,negative
dismember,-0.65,negative
dismiss,-0.3,negative
dismissal,-0.4,negative
dismissive,-0.5,negative
disorderly,-0.5,negative
disorganized,-0.6,negative
disparage,-0.4,negative
disparagement,-0.5,negative
disparagingly,-0.4,negative
disparity,-0.55,negative
dispiriting,-0.4,negative
displace,-0.45,negative
displacement,-0.5,negative
displease,-0.6,negative
displeasure,-0.4,negative
disposal,-0.4,negative
dispose,-0.25,negative
dispositive,-0.2,negative
dispossess,-0.7,negative
dispossession,-0.6,negative
disproportion,-0.55,negative
disproportional,-0.5,negative
disproportionate,-0.4,negative
disproportionately,-0.45,negative
disprove,-0.25,negative
dispute,-0.3,negative
disqualification,-0.6,negative
disqualify,-0.4,negative
disregard,-0.3,negative
disrepair,-0.5,negative
disreputable,-0.45,negative
disrepute,-0.4,negative
disrupt,-0.6,negative
disruption,-0.6,negative
disruptive,-0.4,negative
dissatisfaction,-0.55,negative
dissatisfied,-0.5,negative
dissatisfy,-0.45,negative
dissent,-0.3,negative
disservice,-0.55,negative
dissimilar,-0.05,negative
dissolution,-0.4,negative
dissuade,-0.25,negative
distasteful,-0.5,negative
distinct,0.2,positive
distinguished,0.4,positive
distort,-0.5,negative
distortion,-0.5,negative
distract,-0.4,negative
distracted,-0.35,negative
distraction,-0.3,negative
distraint,-0.45,negative
distraught,-0.65,negative
distress,-0.5,negative
distressing,-0.8,negative
distribute,0.55,positive
distrust,-0.55,negative
disturb,-0.4,negative
disturbance,-0.4,negative
ditch,-0.35,negative
dither,-0.25,negative
dive,-0.3,negative
diversion,-0.1,negative
divest,-0.3,negative
divestment,-0.25,negative
divide,-0.05,negative
divorce,-0.45,negative
divulge,-0.15,negative
dizzying,-0.35,negative
dodgy,-0.45,negative
doldrum,-0.35,negative
doldrums,-0.5,negative
dominate,0.3,positive
donate,0.45,positive
donation,0.55,positive
donor,0.6,positive
doomed,-0.65,negative
doubt,-0.25,negative
doubtful,-0.3,negative
dour,-0.25,negative
dowdy,-0.4,negative
downbeat,-0.35,negative
downdraft,-0.4,negative
downfall,-0.6,negative
downgrade,-0.65,negative
downgrading,-0.55,negative
downmarket,-0.45,negative
downplay,-0.4,negative
downside,-0.45,negative
downsize,-0.4,negative
downtime,-0.3,negative
downtrend,-0.45,negative
downtrodden,-0.6,negative
downturn,-0.3,negative
downward,-0.4,negative
downwards,-0.5,negative
drab,-0.2,negative
draconian,-0.45,negative
drag,-0.3,negative
drain,-0.4,negative
dramatize,-0.5,negative
drastic,-0.35,negative
drastically,-0.15,negative
drawback,-0.4,negative
dread,-0.65,negative
dreaded,-0.5,negative
dreadful,-0.5,negative
dream,0.5,positive
dreary,-0.4,negative
drench,-0.4,negative
dribble,-0.35,negative
drill,-0.2,negative
droop,-0.4,negative
drop,-0.4,negative
dropping,-0.7,negative
drought,-0.65,negative
drown,-0.85,negative
drubbing,-0.5,negative
dry,-0.3,negative
dubious,-0.4,negative
dud,-0.65,negative
dull,-0.45,negative
dumb,-0.75,negative
dummy,-0.45,negative
dump,-0.45,negative
dupe,-0.7,negative
durable,0.3,positive
duress,-0.4,negative
dust,-0.35,negative
dusty,-0.3,negative
dwindle,-0.5,negative
dynamism,0.5,positive
dysfunction,-0.5,negative
dysfunctional,-0.55,negative
eager,0.6,positive
earnest,0.4,positive
earning,0.75,positive
earthquake,-0.5,negative
easily,0.6,positive
easy,0.65,positive
ebb,-0.15,negative
